Date,Amount,Description,Bank
28-08-2017,-15.65,CRITERION HOTEL SYDNEY,ANZ
06/02/2016,-87.5,"RETAIL PURCHASE YMCA ITAC, PARRAMATTA 0502 AUD000000008750",BENDIGO
9/6/2017,-13.35,POST   SUTHERLAND PO SUTHERLAND  AUS Card xx7113 Value Date: 06/06/2017,CBA
29/03/2016,-23.61,"RETAIL PURCHASE-INTERNATIONAL Uber BV, help.uber.com 2803 CNY000000011543",BENDIGO
10/04/2016,-19.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 0804 AUD000000001900",BENDIGO
20/09/2016,-9.2,"RETAIL PURCHASE COLES 0839, BROADWAY 1809 AUD000000000920",BENDIGO
24/10/2015,-9.0,"RETAIL PURCHASE YUMMBA, KENSINGTON 2210 AUD000000000900",BENDIGO
22/07/2017,-10.77,WOOLWORTHS 1620 SYDNEY  AUS Card xx7113 Value Date: 21/07/2017,CBA
19/02/2017,-1750.14,"RETAIL PURCHASE JETSTAR, MELBOURNE 1702 AUD000000175014",BENDIGO
23/04/2016,-24.9,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 2204 AUD000000002490",BENDIGO
29/06/2017,-36.75,"RETAIL PURCHASE TAXI COMBINED 13330,ALEXANDRIA 2806 AUD000000003675",BENDIGO
14/09/2016,-11.4,"RETAIL PURCHASE WOLESLEY MGT PTY,IMO NSW 1009 AUD000000001140",BENDIGO
16/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 14/08/2017,CBA
23/08/2017,2323.0,CREDIT TRANSFER 0129374924 00247011616601,BENDIGO
05/11/2016,-54.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 0411 AUD000000005400",BENDIGO
28/05/2017,-48.95,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 2605 AUD000000004895",BENDIGO
29/03/2017,-1.7,"RETAIL PURCHASE CITYOFSYDNEY PARKING, SYDNEY 2703 AUD000000000170",BENDIGO
7/6/2017,-15.98,CHEMIST WAREHOUSE HURSTVILLE NS AUS Card xx8731 Value Date: 04/06/2017,CBA
9/9/2017,-100.00,Wdl ATM CBA ATM  SUTHERLAND     NSW 225901   AUS,CBA
24/09/2016,-17.01,"RETAIL PURCHASE-INTERNATIONAL two app studio, SINGAPORE 2109 USD000000001299",BENDIGO
24/02/2016,-84.0,"RETAIL PURCHASE PETERS OF KNSNGTN P,KENSINGTON 2002 AUD000000008400",BENDIGO
23/07/2017,-28.0,"RETAIL PURCHASE GUZMAN Y GOMEZ ICC DAR,PYRMONT 2007 AUD000000002800",BENDIGO
30/08/2016,-0.16,INTERNATIONAL TRANSACTION FEE,BENDIGO
28/04/2017,-2.59,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Digibite,g.co/payhelp# 2604 AUD000000000259",BENDIGO
28/09/2016,-72.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 2609 AUD000000007200",BENDIGO
17/09/2017,-20.0,"RETAIL PURCHASE Newslink SYD903, Sydney 1609 AUD000000002000",BENDIGO
06/02/2016,-0.13,INTERNATIONAL TRANSACTION FEE,BENDIGO
14/01/2016,-16.8,"RETAIL PURCHASE TAXI COMBINED 133,DARLINGHURST 1301 AUD000000001680",BENDIGO
18/02/2016,-164.98,"RETAIL PURCHASE SYDNEYS BABY KINGDO,ALEXANDRIA 1602 AUD000000016498",BENDIGO
19-09-2017,-39.85,DISC PARTY WHSE LIDCOMBE,ANZ
21/06/2017,-8.50,OPORTO THE GALLERIES SYDNEY NS AUS Card xx8731 Value Date: 19/06/2017,CBA
29/08/2017,-44.00,85 DEGREES COFFEE HAYMARKET  AUS Card xx8731 Value Date: 28/08/2017,CBA
02/07/2016,-72.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 3006 AUD000000007200",BENDIGO
28/11/2016,3000.0,CREDIT TRANSFER 0113916076 00247011616601,BENDIGO
06/07/2016,2700.0,E-BANKING TRANSFER 0106285042 00247011611301,BENDIGO
13/03/2016,-17.37,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 1103 USD000000001299",BENDIGO
14/05/2017,-4.1,"RETAIL PURCHASE MCDONALDS SYDNEY,CIRCULAR QUAY 1105 AUD000000000410",BENDIGO
14/06/2016,-80.62,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 1106 AUD000000008062",BENDIGO
02/08/2017,-4.49,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *TripView,g.co/helppay# 3107 AUD000000000449",BENDIGO
25/12/2016,-0.99,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *TeslaCoi,g.co/payhelp# 2312 AUD000000000099",BENDIGO
05/01/2016,-0.89,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *KidsGame,GOOGLE.COM/CH 0201 AUD000000000089",BENDIGO
21/01/2016,-15.9,"RETAIL PURCHASE ALDI 066, BROADWAY 1901 AUD000000001590",BENDIGO
30/04/2017,-77.68,"RETAIL PURCHASE THE ACTIVE NETWORK,SURRY HILLS 2804 AUD000000007768",BENDIGO
01/02/2017,-11.25,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 2901 AUD000000001125",BENDIGO
07/07/2016,1400.0,CREDIT TRANSFER 0106369198 00247011616601,BENDIGO
10/09/2017,-54.4,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0809 AUD000000005440",BENDIGO
10/8/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent,CBA
30/08/2016,-0.16,INTERNATIONAL TRANSACTION FEE,BENDIGO
10/02/2016,-629.99,"RETAIL PURCHASE SYDNEYS BABY KINGDO,ALEXANDRIA 0502 AUD000000062999",BENDIGO
19/05/2017,-3.0,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 1605 AUD000000000300",BENDIGO
17/02/2016,-23.5,"RETAIL PURCHASE QUARRY ST CAFE, ULTIMO 1302 AUD000000002350",BENDIGO
06/05/2017,-34.36,"RETAIL PURCHASE CHEMIST WAREHOUSE, RANDWICK 0405 AUD000000003436",BENDIGO
18/06/2016,-45.8,"RETAIL PURCHASE TASTE BAGUETTE, OF SYDNEYNSWA 1506 AUD000000004580",BENDIGO
23/12/2015,-17.8,"RETAIL PURCHASE HOB QUA F B SER ,IMO NSW 1912 AUD000000001780",BENDIGO
19/02/2016,-0.08,INTERNATIONAL TRANSACTION FEE,BENDIGO
13/06/2017,-53.84,"RETAIL PURCHASE COLES 0839, BROADWAY 1106 AUD000000005384",BENDIGO
09/06/2016,-79.0,"RETAIL PURCHASE TARGET 5286, GLEBE 0806 AUD000000007900",BENDIGO
06/12/2016,1000.0,E-BANKING TRANSFER 0114419218 00247011611301,BENDIGO
14/01/2016,-700.0,"RETAIL PURCHASE CLOVELLY B & R CLUB, CLOVELLY 1301 AUD000000070000",BENDIGO
11/04/2017,-158.9,"RETAIL PURCHASE Dan Murphy's, ALEXANDRIA 0904 AUD000000015890",BENDIGO
30/08/2016,-2.56,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 2908 USD000000000195",BENDIGO
29/12/2015,-95.66,"RETAIL PURCHASE ALDI 011, UMINA 2612 AUD000000009566",BENDIGO
07/04/2016,-1.5,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Anthony ,g.co/payhelp# 0504 AUD000000000150",BENDIGO
22/07/2017,-9.9,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 1907 AUD000000000990",BENDIGO
23/06/2016,-43.63,"RETAIL PURCHASE AGL RETAIL ENERGY,NORTH SYDNEY 2106 AUD000000004363",BENDIGO
5/9/2017,-9.00,CAFE 2232 SUTHERLAND NS AUS Card xx8731 Value Date: 01/09/2017,CBA
13/07/2017,-109.60,UNIQLO SYDNEY NS AUS Card xx8731 Value Date: 10/07/2017,CBA
14/09/2017,-11.90,PATTAN SUPERMARKET HARRIS PARK  AUS Card xx8731 Value Date: 09/09/2017,CBA
11/10/2017,-18.5,"RETAIL PURCHASE KMART 1155, BROADWAY 1010 AUD000000001850",BENDIGO
28/01/2016,-36.66,"RETAIL PURCHASE CHEMIST WAREHOUSE, RANDWICK 2701 AUD000000003666",BENDIGO
06-09-2017,-19.5,PATEL CONVENIENCE ST ASHFIELD,ANZ
2/9/2017,-3.30,GPBM PTY LTD SYDNEY NS AUS Card xx7113 Value Date: 31/08/2017,CBA
18/04/2017,-15.5,"RETAIL PURCHASE COOGEE BITE, COOGEE 1504 AUD000000001550",BENDIGO
19/09/2017,-7.6,"RETAIL PURCHASE LUNEBURGER CENTRAL, SYDNEY 1609 AUD000000000760",BENDIGO
17/11/2015,-25.42,"RETAIL PURCHASE COLES 08001, RANDWICK 1611 AUD000000002542",BENDIGO
03/05/2016,-122.0,"RETAIL PURCHASE NATURES ENERGY, GLEBE 0205 AUD000000012200",BENDIGO
26/08/2016,-20.5,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 2508 AUD000000002050",BENDIGO
21/07/2016,-10.94,"RETAIL PURCHASE BUNNINGS 370000 QPS,ALEXANDRIA 1907 AUD000000001094",BENDIGO
12/04/2016,-157.37,"RETAIL PURCHASE IKEA, TEMPE 1104 AUD000000015737",BENDIGO
25/05/2017,-60.00,SHIRE FAMILY MEDICAL SUTHERLAND NS AUS Card xx8731 Value Date: 22/05/2017,CBA
21/06/2017,-64.50,PROUDS 250 BURWOOD NS AUS Card xx8731 Value Date: 18/06/2017,CBA
14/01/2016,-135.3,"RETAIL PURCHASE COLES 0839, BROADWAY 0201 AUD000000013530",BENDIGO
29/11/2016,-154.99,"RETAIL PURCHASE DAN MURPHYS 1879, ALEXANDRIA 2811 AUD000000015499",BENDIGO
27/06/2017,-4.40,METCASH TRADING LIMQPS SUTHERLAND  AUS Card xx7113 Value Date: 24/06/2017,CBA
08/06/2017,-8.0,"RETAIL PURCHASE PYRMONT POINT HOTEL, PYRMONT 0506 AUD000000000800",BENDIGO
16/04/2017,-10.76,"RETAIL PURCHASE COLES 0839, BROADWAY 1504 AUD000000001076",BENDIGO
23/02/2017,-70.5,"RETAIL PURCHASE CHINESE NORTH RESTAU,HAYMARKET 2102 AUD000000007050",BENDIGO
07/04/2017,-32.0,"RETAIL PURCHASE BEST AND LESS, RANDWICK 0404 AUD000000003200",BENDIGO
07/07/2017,-12.99,"RETAIL PURCHASE AMAZON AUST SERVICES,MELBOURNE 0607 AUD000000001299",BENDIGO
14/04/2016,1300.0,E-BANKING TRANSFER 0102257269 00247011611301,BENDIGO
29/01/2017,-9.33,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 2701 USD000000000702",BENDIGO
16/03/2016,-9.9,"RETAIL PURCHASE EZIDEBIT DISHONOUR FE,NEWSTEAD 1403 AUD000000000990",BENDIGO
26/10/2016,-14.4,"RETAIL PURCHASE WOLESLEY MGT PTY,IMO NSW 2110 AUD000000001440",BENDIGO
14/04/2016,-0.08,INTERNATIONAL TRANSACTION FEE,BENDIGO
18/03/2017,-55.0,"RETAIL PURCHASE TARGET 5078, BROOKVALE 1703 AUD000000005500",BENDIGO
15/01/2016,-1.33,"RETAIL PURCHASE GoGetCarshare, HAYMARKET 1301 AUD000000000133",BENDIGO
20/07/2016,-16.5,"RETAIL PURCHASE HEY YOU, SURRY HILLS 1807 AUD000000001650",BENDIGO
18/05/2017,-79.95,"RETAIL PURCHASE SUPERDRY CENTRAL P,CHIPPENDALE 1505 AUD000000007995",BENDIGO
08/09/2017,-7.0,"RETAIL PURCHASE YORK STATIONERS PTY, ULTIMO 0709 AUD000000000700",BENDIGO
27/07/2017,-6.50,DONG PHO WYNYARD NS AUS Card xx7113 Value Date: 21/07/2017,CBA
03/10/2017,-11.19,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0210 AUD000000001119",BENDIGO
24/03/2017,-18.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 2203 AUD000000001800",BENDIGO
21/04/2017,-3.8,"RETAIL PURCHASE Woolworths, RANDWICK 1904 AUD000000000380",BENDIGO
13/03/2016,12.0,"RETAIL PURCHASE RETURN QUEENSLAND MUSE1,SOUTH BRISBAN 1203 AUD000000001200",BENDIGO
11-09-2017,-43.5,Harbourview Takeaway Shellharbour,ANZ
03/02/2016,-17.0,"RETAIL PURCHASE MCDONALDS WATERLOO, WATERLOO 3101 AUD000000001700",BENDIGO
21-08-2017,-28.87,COLES 0791 ASHFIELD,ANZ
07/10/2017,-15.5,"RETAIL PURCHASE LORD OF THE FRIES, HAYMARKET 0510 AUD000000001550",BENDIGO
11/9/2017,-518.56,Direct Debit 401938 ORIGIN ELEC 052004131315,CBA
20/05/2017,-15.8,"RETAIL PURCHASE KENNARDS SELF STORAGE, ULTIMO 1805 AUD000000001580",BENDIGO
23/05/2017,-17.50,CEEZ INVESTMENTS PTY L SYDNEY  AUS Card xx7113 Value Date: 21/05/2017,CBA
13/10/2015,-78.78,"RETAIL PURCHASE-INTERNATIONAL SANA SAFINA, KARACHI 0810 PKR000000598000",BENDIGO
20/09/2016,-0.08,INTERNATIONAL TRANSACTION FEE,BENDIGO
21/02/2016,-10.0,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 1902 AUD000000001000",BENDIGO
02/11/2016,-0.16,INTERNATIONAL TRANSACTION FEE,BENDIGO
18/11/2015,-34.9,"RETAIL PURCHASE AMAYSIM AUST PTY LTD, SYDNEY 1711 AUD000000003490",BENDIGO
18/09/2016,-2.09,"RETAIL PURCHASE JOHNNYS FRESH, PYRMONT 1609 AUD000000000209",BENDIGO
12/09/2017,-61.07,"RETAIL PURCHASE COLES 08001, RANDWICK 1109 AUD000000006107",BENDIGO
21/10/2016,-6.15,"RETAIL PURCHASE SECURE PARKING MATE,CROWS NEST 1910 AUD000000000615",BENDIGO
28/07/2016,-25.13,"RETAIL PURCHASE Cincotta Chem Glebe, Glebe 2707 AUD000000002513",BENDIGO
29/07/2017,-12.57,"RETAIL PURCHASE-INTERNATIONAL KICKSTARTER.COM, 9292244943 2707 USD000000001000",BENDIGO
27/09/2016,-11.82,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 2509 USD000000000899",BENDIGO
05/05/2016,-66.77,"RETAIL PURCHASE-INTERNATIONAL DNH*MEDIA TEMPLE I,877-5784000 0105 USD000000005000",BENDIGO
23/07/2016,-6.68,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 2107 USD000000000499",BENDIGO
25-09-2017,-3.0,ADRIANO ZUMBO PATISS SYDNEY,ANZ
15/08/2017,-17.99,NETFLIX COM MELBOURNE  AUS Card xx7113 Value Date: 10/08/2017,CBA
10/05/2017,-12.55,"RETAIL PURCHASE COLES 0839, BROADWAY 0905 AUD000000001255",BENDIGO
09/03/2017,-44.9,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0803 AUD000000004490",BENDIGO
09/12/2015,-3.72,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Edward 3,GOOGLE.COM/CH 0712 AUD000000000372",BENDIGO
17/05/2016,-15.81,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 1505 AUD000000001581",BENDIGO
11/08/2016,-144.23,"RETAIL PURCHASE-INTERNATIONAL NADRA, ISLAMABAD 0908 PKR000001150000",BENDIGO
05/01/2016,-298.0,"RETAIL PURCHASE AUST FOR UNHCR, SYDNEY 0401 AUD000000029800",BENDIGO
25/05/2017,-9.0,"RETAIL PURCHASE UNICAFE, KENSINGTON 2205 AUD000000000900",BENDIGO
28/06/2017,-901.13,"RETAIL PURCHASE-INTERNATIONAL AMAZON MKTPLACE PMT,AMAZON.COM 2606 AUD000000090113",BENDIGO
24/03/2016,-41.35,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 2303 AUD000000004135",BENDIGO
8/6/2017,-5.00,SQ *WHITE HORSE COFFEE Sutherland NS AUS Card xx7113 Value Date: 06/06/2017,CBA
14/01/2016,-224.4,"RETAIL PURCHASE EB 2016 INTERNATI,1800-172-897 1201 AUD000000022440",BENDIGO
4/8/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 02/08/2017,CBA
06/01/2017,-18.8,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0501 AUD000000001880",BENDIGO
15/08/2017,-9.20,KOKO BLACK AUSTRALIA P SYDNEY  AUS Card xx7113 Value Date: 11/08/2017,CBA
24/11/2016,-38.0,"RETAIL PURCHASE CLEAN EXPRESS LA,IMO NSW 2311 AUD000000003800",BENDIGO
13/08/2017,-15.26,INTERNATIONAL TRANSACTION FEE,BENDIGO
1/9/2017,-970.00,Transfer to other Bank NetBank DepoRef 0420416163,CBA
22/08/2017,-59.00,LIQUORLAND 3403 SUTHERLAND AU AUS Card xx7113 Value Date: 19/08/2017,CBA
11/08/2016,-275.92,"RETAIL PURCHASE-INTERNATIONAL NADRA, ISLAMABAD 0908 PKR000002200000",BENDIGO
22/02/2017,-3.9,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 2102 USD000000000299",BENDIGO
02/07/2016,-35.95,"RETAIL PURCHASE UNSW Bookshop, UNSW Sydney 0107 AUD000000003595",BENDIGO
24/12/2016,-85.47,"RETAIL PURCHASE-INTERNATIONAL BOOK MART, Karachi 2212 PKR000000647000",BENDIGO
26/08/2016,-72.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 2408 AUD000000007200",BENDIGO
18/11/2016,-84.7,"RETAIL PURCHASE UNIQLO, SYDNEY 1611 AUD000000008470",BENDIGO
28/02/2017,-9.0,"RETAIL PURCHASE TARONGA CONSERVATION S, MOSMAN 2602 AUD000000000900",BENDIGO
04/10/2016,50.0,E-BANKING TRANSFER 0110954072 00247011611301,BENDIGO
27/11/2015,-115.35,"RETAIL PURCHASE ALDI 066, BROADWAY 2511 AUD000000011535",BENDIGO
19/03/2017,-7.95,"RETAIL PURCHASE THE HOYTS CORPORATIO, BROADWAY 1603 AUD000000000795",BENDIGO
27/11/2015,-21.0,"RETAIL PURCHASE DELIVERY HERO, ULTIMO 2611 AUD000000002100",BENDIGO
25/06/2016,-1.8,"RETAIL PURCHASE MOO GOURMET BURGERS, COOGEE 2306 AUD000000000180",BENDIGO
11/11/2016,-80.3,"RETAIL PURCHASE CHINESE NORTH RE,MARKET NSW 0911 AUD000000008030",BENDIGO
29/07/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 27/07/2017,CBA
20/03/2016,-3.93,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Ahoiii G,g.co/payhelp# 1803 AUD000000000393",BENDIGO
15/07/2016,-6.99,"RETAIL PURCHASE PAYPAL *COMBLAND, 4029357733 1307 AUD000000000699",BENDIGO
11/10/2017,-22.5,"RETAIL PURCHASE FRIENDLY GROCER PYRM, PYRMONT 0810 AUD000000002250",BENDIGO
20/06/2017,-25.98,"RETAIL PURCHASE RED BOTTLE CENT1,LANE COVE WES 1706 AUD000000002598",BENDIGO
22-08-2017,-129.0,RALPH LAUREN HOMEBUSH,ANZ
08/03/2017,-279.62,"RETAIL PURCHASE ALDI STORES, DRUMMOYNE 0303 AUD000000027962",BENDIGO
07/08/2016,-87.5,"RETAIL PURCHASE YMCA ITAC, PARRAMATTA 0508 AUD000000008750",BENDIGO
10/05/2016,-117.93,"RETAIL PURCHASE IKEA, TEMPE 0805 AUD000000011793",BENDIGO
25/01/2017,-28.4,"RETAIL PURCHASE CHINESE NORTH RE,MARKET NSW 2001 AUD000000002840",BENDIGO
06/08/2017,-9.9,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 0308 AUD000000000990",BENDIGO
03/02/2017,-44.9,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0202 AUD000000004490",BENDIGO
1/6/2017,-3.60,EGGS & BACON HOLDINQPS PYRMONT  AUS Card xx7113 Value Date: 31/05/2017,CBA
05/09/2017,-0.28,INTERNATIONAL TRANSACTION FEE,BENDIGO
22/03/2016,-13.14,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 2003 USD000000000999",BENDIGO
11/01/2017,-5.76,INTERNATIONAL TRANSACTION FEE,BENDIGO
19/11/2016,1000.0,CREDIT TRANSFER 0113452313 00247011616601,BENDIGO
22/03/2016,-52.19,"RETAIL PURCHASE TAXI COMBINED 133,DARLINGHURST 1903 AUD000000005219",BENDIGO
23/06/2017,-3.50,LUNEBURGER CENTRAL SYDNEY NS AUS Card xx8731 Value Date: 21/06/2017,CBA
14/09/2016,-54.0,"RETAIL PURCHASE CHINESE NORTH RE,MARKET NSW 0909 AUD000000005400",BENDIGO
10/12/2016,-16.89,"RETAIL PURCHASE-INTERNATIONAL AMIS, KARACHI 0212 PKR000000132000",BENDIGO
21/09/2016,-7.95,"RETAIL PURCHASE H AND M AUSTRALIA 0011, SYDNEY 2009 AUD000000000795",BENDIGO
21/06/2017,-11.24,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 18/06/2017,CBA
07/01/2017,-87.5,"RETAIL PURCHASE IAN THORPE AQUATIC, ULTIMO 0601 AUD000000008750",BENDIGO
02/12/2015,-10.55,"RETAIL PURCHASE SUBWAY UNSW PTY LTD,KENSINGTON 0112 AUD000000001055",BENDIGO
29/09/2016,-7.91,ATM OPERATOR FEE KRUNG THAI BANK PHUKET 2909 AUD000000000791,BENDIGO
28/02/2017,-4.0,"RETAIL PURCHASE KMART 1155, BROADWAY 2602 AUD000000000400",BENDIGO
09/09/2016,-30.0,"RETAIL PURCHASE SUBLACUM PTY LTD, PYRMONT 0709 AUD000000003000",BENDIGO
5/7/2017,-4.79,ROMEOS FOODHALL SUTHER SUTHERLAND  AUS Card xx8731 Value Date: 04/07/2017,CBA
29/04/2016,1800.0,E-BANKING TRANSFER 0102981514 00247011611301,BENDIGO
23/03/2017,-6.75,"RETAIL PURCHASE BREAD CITY PTY LTD, GLEBE 2103 AUD000000000675",BENDIGO
19/03/2017,-166.5,"RETAIL PURCHASE Oceans Narrabeen, Narrabeen 1803 AUD000000016650",BENDIGO
01/03/2017,-59.99,"RETAIL PURCHASE TPG INTERNET PTY LT,NORTH RYDE 2802 AUD000000005999",BENDIGO
9/9/2017,-10.00,SUNSHINE 11 PTY LTD MARTIN PLACE NS AUS Card xx7113 Value Date: 06/09/2017,CBA
30/08/2016,-0.16,INTERNATIONAL TRANSACTION FEE,BENDIGO
09/01/2016,-774.0,"RETAIL PURCHASE AIRBNB, AUSTRALIA 0701 AUD000000077400",BENDIGO
17/09/2016,2258.0,CREDIT TRANSFER 0110080458 00247011616601,BENDIGO
09/08/2017,-66.11,"RETAIL PURCHASE Woolworths, BROADWAY 0608 AUD000000006611",BENDIGO
13/09/2017,-20.00,BEST & LESS HURSTVILLE  AUS Card xx8731 Value Date: 11/09/2017,CBA
16/02/2016,-85.0,"RETAIL PURCHASE SUBLACUM PTY LTD, PYRMONT 1402 AUD000000008500",BENDIGO
25-09-2017,-15.08,COLES EXPRESS 1557 MINTO,ANZ
14/03/2017,-15.49,"RETAIL PURCHASE WOOLWORTHS 1716, HAYMARKET 1103 AUD000000001549",BENDIGO
26/08/2017,-2.0,"RETAIL PURCHASE HJ CIRCULAR QUAY,CIRCULAR QUAY 2408 AUD000000000200",BENDIGO
02/08/2016,-58.99,"RETAIL PURCHASE TPG INTERNET PTY LT,NORTH RYDE 3107 AUD000000005899",BENDIGO
10/01/2016,-6.5,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0901 AUD000000000650",BENDIGO
19/05/2017,-3.0,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 1605 AUD000000000300",BENDIGO
15/10/2017,-40.0,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 1310 AUD000000004000",BENDIGO
06/08/2016,-53.4,"RETAIL PURCHASE ACN 146 292 560 ,SA HEADS QLD 0308 AUD000000005340",BENDIGO
19/08/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 17/08/2017,CBA
16/05/2017,-17.5,"RETAIL PURCHASE NEWINGTON NOMINEES Q,PETERSHAM 1305 AUD000000001750",BENDIGO
28/07/2017,-3.30,GPBM PTY LTD SYDNEY NS AUS Card xx7113 Value Date: 26/07/2017,CBA
8/6/2017,-6.80,TASTE BAGUETTE HURST HURSTVILLE NS AUS Card xx8731 Value Date: 04/06/2017,CBA
26/07/2017,-4.00,Happy as Larry Sydney NS AUS Card xx7113 Value Date: 24/07/2017,CBA
05/06/2016,-16.98,"RETAIL PURCHASE FUZES PHARMACY, GLEBE 0206 AUD000000001698",BENDIGO
02/11/2016,-32.4,"RETAIL PURCHASE CHINESE NORTH RE,MARKET NSW 3010 AUD000000003240",BENDIGO
18/04/2017,-23.91,"RETAIL PURCHASE Woolworths, BROADWAY 1504 AUD000000002391",BENDIGO
16/12/2015,-189.82,"RETAIL PURCHASE GoGetCarshare, HAYMARKET 1512 AUD000000018982",BENDIGO
29/06/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent,CBA
9/8/2017,-12.50,MAD MEX FRESH MEXICQPS SYDNEY  AUS Card xx7113 Value Date: 08/08/2017,CBA
18/02/2017,1000.0,CREDIT TRANSFER 0118463741 00247011616601,BENDIGO
22/03/2017,-2.55,"RETAIL PURCHASE MCDONALDS WARRIEWOO,WARRIEWOOD 1803 AUD000000000255",BENDIGO
16/09/2017,-4.50,FRANK AND BLANCO PL SUTHERLAND  AUS Card xx7113 Value Date: 15/09/2017,CBA
05/09/2017,-9.45,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 0409 USD000000000749",BENDIGO
04/05/2016,-15.2,"RETAIL PURCHASE COLES, BROADWAY 0305 AUD000000001520",BENDIGO
21-08-2017,-7.5,DAVID TRACY INVESTMENT SYDNEY,ANZ
29/11/2015,-0.25,INTERNATIONAL TRANSACTION FEE,BENDIGO
10/05/2017,-45.62,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0805 AUD000000004562",BENDIGO
23/11/2016,-82.7,"RETAIL PURCHASE ST MARK AUSTRALIA PTY, NEWTOWN 2211 AUD000000008270",BENDIGO
24/08/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 23/08/2017,CBA
29/11/2016,-24.0,"RETAIL PURCHASE Glasgow Arms Hotel, Ultimo 2711 AUD000000002400",BENDIGO
06/01/2016,-31.37,"RETAIL PURCHASE CHEMIST WAREHOUSE, RANDWICK 0501 AUD000000003137",BENDIGO
08/03/2016,-7.65,"RETAIL PURCHASE Movenpick Darling Harb, SYDNEY 0403 AUD000000000765",BENDIGO
04/03/2016,-13.88,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 0303 USD000000000999",BENDIGO
6/6/2017,-12.00,BWS LIQUOR W1484 SUTHERLAND  AUS Card xx7113 Value Date: 02/06/2017,CBA
01/09/2016,-4.39,INTERNATIONAL TRANSACTION FEE,BENDIGO
04/02/2017,-6.95,"RETAIL PURCHASE COLES 0839, BROADWAY 0302 AUD000000000695",BENDIGO
03/03/2017,-13.0,"RETAIL PURCHASE Ragamuffin, Miranda 0203 AUD000000001300",BENDIGO
01/10/2017,-3.4,"RETAIL PURCHASE CITYOFSYDNEY PARKING, SYDNEY 2909 AUD000000000340",BENDIGO
17/01/2017,-16.05,INTERNATIONAL TRANSACTION FEE,BENDIGO
27/06/2017,-84.56,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 2506 AUD000000008456",BENDIGO
